# Shiren GB — VILLAGE AND STORY PROSE, as sentences. `tools/wrap_en.py` turns this into
# the `<br>`-carrying rows in `script/en.tsv`.
#
# WHY THIS FILE EXISTS. `<br>` is authored data, so renderer changes do not re-flow old
# text automatically. Production dialogue now uses modified Dot Gothic with independent
# 30-source-glyph and 144-painted-pixel limits. Drafts live here so a measured geometry or
# approved-font change can be applied in one command:
#
#     python3 tools/wrap_en.py script/prose_draft.tsv --apply
#
# WHAT GOES IN A ROW. `loc <TAB> english`, and the English is SENTENCES. No `<br>`, no
# `<end>`, no leading-space indents — the wrapper owns all three, and the `<end>` rule it
# applies is measured off the shipped Japanese (see wrap_en.wrap).
#
# What you DO write:
#   <brk>          a page break you want for pacing. Put them where the Japanese does.
#   <name> <var>   substitution tokens. lint_en checks these survive; the wrapper leaves
#   <cE3:05>       room for what it expands to. The selector inside <cE3:xx> and the <$XX>
#   <mode1><$3C>   after <mode1> are ARGUMENT BYTES, not text — see TRANSLATING.md §7.
#
# SPEAKER TAGS are the short form for the five compounds Joey ruled on 2026-08-05:
# Kinji / Masa / Chief / Gon / Priest. `Fumi's Mom` is her whole name and stays.
# `lint_en.ATTRIBUTION` is what permits this, and only in the opening position.
#
# loc	english

# ============ bank 14 — the Dragon's Maw finale ============
11:$741D	Old Seer: Destiny, fate, tradition...<brk>All of it is about to be overturned.<brk>Orochi is formidable, yes...<brk>but the light I sense in you shines brighter still.
11:$7493	Nagi: Big bro! I still want to come with you!<brk>I'm going! You can't say no!<brk>...Or so I thought, but suddenly I have to pee really bad!<brk>Go on ahead!<brk>...Or so I thought, but now I feel like I have to go, but I can't.<brk>Hmm... What do I do?
11:$7535	Innkeeper: Keyaki still hasn't come back.<brk>I wonder what happened.
11:$755F	Fumi's Mom: <name>... Um, take this.
11:$7575	<name> received <cE3:03>.
11:$7581	Fumi's Mom: I'm sorry this is all I can do. But please... save Fumi.
11:$75B3	Kinji: Keyaki's gone missing?<brk>Nooooooo!!
11:$75E1	Gon: Where could Keyaki have gone?<brk>Urgh... And I secretly had my eye on her, too.
11:$761C	=Rokuro: Say <name>,<br> would this be of use?<end><mode0>
11:$7639	=<name> received<br> <cE3:01>.<end><mode0>
11:$7648	Rokuro: I found it lying in the hills out back.<brk>It's no use to me, so you can have it.
11:$7682	Tagura: Good luck! You have to save Fumi!
11:$76A4	Chief: What! The scroll is gone?<brk>It was definitely there yesterday...<brk>Come to think of it, I heard someone saw a figure last night,<brk>heading toward Dragon's Maw.<brk>Apparently they avoided the Easy road and took Normal or Hard.<brk>Why don't you try taking Normal or Hard too?<brk>Maybe you'll find something...<brk>Forgive me... That was terribly irresponsible of me to suggest...
11:$77A6	Nagi: I saw a weird shield by the river the other day,<brk>but I had to pee so bad that I went home without it.<brk>I'll grab it next time.
11:$7803	Old Seer: For the first time, hope is growing<brk>among the villagers.<brk>Thanks to you, light is finally beginning to reach this village.
11:$785F	Masa: Leave items in the Warehouse and you won't lose them if you collapse.<brk>But everything inside a Pot disappears, so be careful.<brk>You can only bring 5 items on an adventure.<brk>Remember, Pots lose their contents.
11:$78F6	Gon: Maybe Keyaki...<brk>didn't want <name> to see her looking like a monster...<brk>Urgh... So that's why she's hiding...
11:$7964	Kinji: I think Keyaki might have feelings for <name>...<brk>Ugh, I'm so jealous...
11:$7998	Innkeeper: I'm sure Keyaki will come back.<brk>She'll smile like nothing ever happened.
11:$79CC	Fumi's Mom: Please... Please save Fumi.
11:$79EA	Rokuro: Don't you lose to Orochi.
11:$79FF	Nagi: Hey, I picked up that shield I told you about yesterday. Here.
11:$7A24	<name> received <cE3:00>.
11:$7A31	Nagi: I'm not sure it'll help, but you can have it.
11:$7A52	Masa: Hey, <name>.<brk>Kinji and I expanded the Warehouse yesterday.<brk>Now you can store a lot more items.<brk>Remember, you can only bring 5 items on an adventure,<brk>and Pots lose their contents, so be careful.
11:$7AE2	Innkeeper: I'm sure Keyaki will come back.<brk>She'll smile like nothing ever happened.
11:$7B16	Gon: Keyaki... What a sweet girl. Urgh...
11:$7B3C	Nagi: If only I were stronger...
11:$7B58	Kinji: Gran, I got my heart broken.<brk>Food...
11:$7B7F	Old Seer: At a time like this,<brk>aren't you normally too upset to eat?
11:$7BB5	Kinji: ...Keyakiii! Waaaaah!<brk>Chomp chomp chomp chomp!
11:$7BE1	Masa: Hey, Kinji! Stop stress-eating<brk>and help me work!<brk>We still have things to do!
11:$7C36	Masa: Hey, <name>! This is the last thing I can do for you.<brk>I expanded the Warehouse as far as it'll go.<brk>That's the limit.<brk>You can still only bring 5 items on an adventure,<brk>and Pots lose their contents if you try to take them...<brk>The rest is up to you, <name>!<brk>It all comes down to your skill. We're counting on you!
11:$7D0A	Kinji: Chomp chomp chomp chomp!<brk>Chomp chomp chomp chomp!!<brk>Chomp chomp chomp chomp chomp!!!
11:$7D50	Old Seer: In the end, all you do is eat...
11:$7D79	Rokuro: Truth is, I have something for you, <name>...<brk>But <name>, you're carrying 5 items or more,<brk>so I can't give it to you. Forget it...

# ======================================================================================
# SESSION 8 -- the 162 strings sessions 7 and 8b recovered. The shop, the Shrine Priest's
# help, the Kuyo Pass road picker, the well, Dragon's Maw, the feast and the farewells.
#
# None of this had ever been seen in English: the region walker never opened on it, so it
# was not in script.json at all until 2026-08-05.
# ======================================================================================

# ---- bank 11: the log menu's one missing label ----
11:$537F	=: Log:<$00>

# ---- bank 11: Fumi, and the feast ----
11:$56C3	Fumi: ...Mom.<brk>Mooom!!
11:$5C03	Kinji: Get this weasel drunk and he starts telling tall tales!<brk>Wa-ha-ha-ha!
11:$5C35	Koppa: Wh-whaaat...? Hic. I'll have you know... Hm?<mode0>
11:$5C58	<name>, where're you going? Hic.<brk>Oh, gotta pee? Off you go! Hic.
11:$5C86	Koppa: Hic. Now, where was I? Oh, right.<brk>So then I equipped the Heavy Shield...
11:$5CD2	Everyone: Wa-ha-ha-ha!
11:$5CE2	Chief: What? You mean the monsters at Kuyo Pass?<brk>...Hmm.<cE1><mode1><$3C><cE0:1A><brk>Chief: You may have already realized this, <name>,<brk>but all of those monsters were once children offered as sacrifices.<brk>But you need not regret defeating them.<brk>It's better than wandering forever at Yoshizota's command,<brk>unable to return to normal.<brk>Sending them to their final rest is kinder.<brk>That's why we named it Kuyo Pass, where the lost find rest.<brk>...You don't need to worry about Keyaki.<brk>Wait a few days and she'll always return.<brk>As long as our clan carries this trait,<brk>there is nowhere else we can live.<brk>Chief: Come, everyone is waiting. Let's go back.

# ---- bank 11: the feast runs all night, and the morning of the farewell ----
11:$5E8C	<cF2><cF0><cF1><cF4>And so the village celebrated all night, its old custom finally broken.<brk>The next morning...<mode1><$C8><mode1><$64><mode0>
11:$5ECB	Innkeeper:<mode1><$14> Do you really have to leave the very next day...?<mode1><$B4><brk>Wouldn't you like to stay a little longer?<mode1><$C8><mode0>
11:$5F03	Koppa:<mode1><$14> I'm hungover, so I'd be happy to stay,<brk>but my partner here...<mode1><$B4><brk>Still, <name>... What about Keyaki?<brk>Are you really okay leaving her?<mode1><$B4><mode0>
11:$5F60	Fumi's Mom:<mode1><$14> Thank you so much for everything.<mode1><$B4><brk>Her speech seems to be coming back, little by little...<mode1><$B4><mode0>
11:$5FB6	Fumi:<mode1><$14> Mister...<mode1><$1E> thank you for saving me...<mode1><$3C> Mwah!<mode1><$1E><mode0>
11:$5FE6	Rokuro:<mode1><$14> Take care.<mode1><$64><mode0>
11:$5FF9	Nagi:<mode1><$14> You two were amazing!<mode1><$B4><mode0>
11:$6016	Masa:<mode1><$14> Come back sometime and I'll build you a house.<mode1><$B4><mode0>
11:$6038	Priest:<mode1><$14> Hey!<mode1><$3C> You're late!<mode1><$B4><mode0>
11:$6057	Gon:<mode1><$14> Sorry... Pant, pant.<mode1><$B4><mode0>
11:$6071	Chief:<mode1><$14> Well then, take care...<mode1><$3C> Hm?<mode1><$50><cE7><mode0>
11:$6094	Cat:<mode1><$14> Meow...<mode1><$78><mode0>
11:$60A4	Masa:<mode1><$14> A stray cat?<mode1><$B4><mode0>
11:$60B8	Innkeeper:<mode1><$14> Isn't that the stray cat from the shrine?<mode1><$64><brk>We haven't seen her lately...<mode1><$3C> She came back.<mode1><$DC><mode0>
11:$60FC	Gon:<mode1><$14> Urgh...<mode1><$1E><brk>Come to think of it, I thought I heard a stray cat at the shrine earlier...<mode1><$DC><mode0>
11:$613E	Koppa:<mode1><$14> <name>!<mode1><$3C> Could it be?!<mode1><$64><cE7><mode0>
11:$6157	Innkeeper:<mode1><$14> Keyaki...<mode1><$B4><cE7><mode0>
11:$616C	Keyaki:<mode1><$14> I just had to see you one more time<mode1><$1E>.<mode1><$1E>.<mode1><$1E>.<mode1><$64><brk>You're leaving now, aren't you?<mode1><$B4><brk><name>, you're a Wanderer, after all.<mode1><$1E><brk>Your next adventure is waiting for you.<mode1><$78> That's why<mode1><$64>...<mode1><$C8><brk>Keyaki:<mode1><$14> ...Um<mode1><$1E>, take this!<mode1><$64><mode0>
11:$61FD	<name> received a Medical Herb.<mode1><$B4><mode0>
11:$620F	Keyaki:<mode1><$14> The first thing I gave you was a Medical Herb too,<brk>wasn't it?<mode1><$B4><brk>Since you're starting a new journey, I thought it would be fitting...<mode1><$78><brk>Well<mode1><$1E>.<mode1><$1E>.<mode1><$1E>.<mode1><$1E> take care of yourself!<mode1><$B4><mode0>
11:$62F6	<cF2><cF0><cF1>May Kron, god of travelers, grant you fair winds!<mode1><$C8><mode0>
11:$6311	<cF4>Keyaki:<mode1><$14> ...Um<mode1><$1E>, take this!<mode1><$64><mode0>
11:$7DCC	Nagi: Hey, I picked up that shield I told you about yesterday.<brk>Here it is.<brk>...Or it would be, but you're carrying 5 items or more.<brk>So I can't give it to you.

# ---- bank 14: the shop ----
14:$4031	Shopkeeper: Welcome!<cE0:15>
14:$4042	Shopkeeper: Thank you!
14:$4057	Shopkeeper: For the items you've purchased,<brk>that will be <cE5> Gitan.<mode0>
14:$408F	=<cEC:08><cE5> Gitan. Buy it?<br><$81>Buy<br> Cancel
14:$40AC	=<cEC:08><cE4> Gitan. Buy it?<br><$81>Buy<br> Cancel
14:$40C9	Shopkeeper: I see.<brk>Then I'll lower the price to <cE4> Gitan.<brk>Does that work for you?
14:$40FC	Shopkeeper: For the items you left in the shop,<brk>I'll pay you <cE6> Gitan.
14:$412B	=<cEC:08><cE6> Gitan. Sell it?<br><$81>Sell<br> Cancel
14:$4148	Shopkeeper: That's too bad.
14:$415A	Shopkeeper: You don't have enough money!
14:$4176	Shopkeeper: Oh no!<brk>It's a Monster House!<brk>Hurry to the stairs!
14:$41A6	=<cEC:04>Shopkeeper is asleep.<br> <br>

# ---- bank 14: the signboards ----
14:$41C2	=<cEC:04>  Moonlight Village<br>      Entrance<br>
14:$41DB	=<cEC:04>   Lodging and Meals<br>       The Totoya<br>
14:$4202	=<cEC:04>   Dragon's Cry Shrine<br><br>
14:$421B	=<cEC:00>    Dragon's Maw<br> When the dragon cries,<br> its maw first opens
14:$4255	=      The Rubbish Pot<br> Throw unwanted items<br> into the pot on the right.<end><brk> Once thrown away,<br> it is gone for good.

# ---- bank 14: the Shrine Priest's advice ----
14:$42B7	Priest: I give advice to travelers. What would you like to know?<mode0>
14:$42EE	Priest: What would you like to know?<mode0>
14:$4303	=<cEC:09><$81>1: About moving<br> 2: About Items<br> 3: Other
14:$4329	=<cEC:09><$81>1: How do I dash?<br> 2: How do I move diagonally?<br> 3: How do I turn in place?
14:$4361	Priest: Hold B and press the D-Pad to dash.<brk>Holding B also lets you step onto an item.
14:$43B3	Priest: Hold Start and press the D-Pad to walk only diagonally.
14:$43DF	Priest: Tap Start to display a marker. Then use the D-Pad to change direction.
14:$441D	=<cEC:09><$81>1: How do I select items?<br> 2: How do I sort items?<br> 3: How do I fire arrows?
14:$4451	Priest: Tap B and choose Items.<brk>Press left or right on the D-Pad to change pages.<brk>To use an item, choose it and press A, then check its description for instructions.
14:$44D6	Priest: Press Start while the Items menu is open.
14:$44FF	Priest: Equip arrows from the Items menu,<brk>then hold Select and press A to fire.
14:$453B	=<cEC:09><$81>1: How do I heal faster?<br> 2: How do I view the map?<br> 3: How do I swap places?
14:$4575	Priest: Press A and B together to recover faster.
14:$45A3	Priest: Tap Select to view the dungeon map.
14:$45D4	Priest: To swap places with a person or companion in the dungeon,<brk>hold B and press the D-Pad.

# ---- bank 14: the Kuyo Pass road picker ----
14:$4610	=   Kuyo Pass Route Map<br> Which path will you take?<end><mode0>
14:$4638	=<cEC:09><$81>Easy (current road)<br> Normal<br> Hard
14:$465B	=<cEC:09><$81>Easy<br> Normal (current road)<br> Hard
14:$467F	=<cEC:09><$81>Easy<br> Normal<br> Hard (current road)
14:$46A4	=<cEC:0E><$81>Proceed<br> Back<br>
14:$46B5	=<$81>Proceed<br> Back<br>
14:$46C1	=<$81>Proceed<br> Back<br>
14:$46CD	=<$81>Proceed<br> Back<br>
14:$46EC	<cF4><cF2><cF0><name> was blown away by the wind.<cF3><mode1><$78><mode0>

# ---- bank 14: the voice in the well ----
14:$4702	Hey! Somebody help me!
14:$4716	A voice is coming from inside the well.
14:$472A	Hey! I'm down here! Help me!
14:$4746	<name> used the rope beside the well to pull him out.
14:$4767	Koppa: Phew! How many days has it been since I saw daylight?<brk>You saved me. Oh!...<brk><nop>, <name>!<brk>Where have you been?! I was so lonely! Waaaaah!
14:$47D5	<cE0:00><mode1><$02><cE0:28><name> reunited with Koppa!<mode1><$78><brk>...Maybe it's just been a while,<brk>but he definitely smells a little.
14:$4818	Koppa: ...So that's what happened.<brk>You're going to save a girl offered as a sacrifice...<brk>I heard there was a strange shifting land here,<brk>and figured I'd find you if I came, <name>.<brk>Koppa: But Dragon's Maw up ahead won't open, so we're stuck.<brk>Well, it's already night. Let's get some sleep. Good night.
14:$48DA	Koppa: Let's check out Dragon's Maw before we leave.
14:$4905	    Dragon's Maw<br> When the dragon cries,<br> its maw shall open<brk>Koppa: When the dragon cries, huh.<brk>...Wait.<brk>Come to think of it, the shrine in Moonlight Village...!<brk>Koppa: <name>! Let's go back!<brk>Something's definitely wrong with that village!<brk>Think about it, <name>.<br>When a monster defeats you at Kuyo Pass,<brk>you get sent back to the village, right?<brk>Then if that kid Nagi gets defeated,<brk>shouldn't he be sent back too?<brk>So why do the villagers say he'll never return?<brk>Koppa: The sacrifice tradition.<brk>The Baby Tank you saw in the village.<brk>And that shrine...<brk>Moonlight Village is definitely hiding something.
14:$4AA0	Koppa: We came all this way, but of course it's still closed...
14:$4AC6	Yoshizota: Hey!
14:$4AD3	Yoshizota: It's me, Yoshizota. The medicine seller...<brk>This place opens if I read this scroll, right?
14:$4B10	=<cEC:09><$81>Why do you have a scroll?<br> Why are you here?<br> Never mind
14:$4B47	Yoshizota: Well, the truth is,<brk>I overheard your entire conversation<brk>with the Village Chief.<brk>It sounded interesting, so I took the scroll from the shrine<brk>and came on ahead...<brk>But going in alone looked scary,<brk>so I waited for you to show up.
14:$4BE5	Yoshizota: All right, I'll read it.
14:$4C89	Yoshizota: I'm Orochi.<mode1><$1E><brk><cF4><cE0:05>The villagers call me a monster, but give me a break.<brk>I'm a perfectly normal human.<brk>They're the real monsters.<brk>You saw them yourselves, didn't you?
14:$4F11	<cF0>Yoshizota drank the drug and turned into Orochi!!<cF3><mode1><$1E><mode0>
14:$4FDC	<cF2><cF0><cF1><cF4>And so, <name> and his friends defeated Orochi,<mode1><$B4><brk>then set out on another adventure<brk>to return to Moonlight Village...<mode1><cF0><mode0>

# ---- bank 14: the village, the warehouse and the shrine ----
14:$529F	Keyaki: Here, take this!
14:$56EF	<cE0:00><mode1><$02><cE0:27><name> can now use the Warehouse!<mode1><$78><brk>You can store all kinds of things there!<cE0:0C>
14:$5BF2	<cF2><cF0>Nagi: We made it...<mode1><$78><mode0>
14:$5C05	<cF2><cF1>   And the next morning...<mode1><$78><mode0>
14:$5F2A	Kinji: Once you become an adult, the fits stop,<brk>and you stay in control even when transformed.<brk>Some people take a while to change back, like my brother...
14:$5F8B	Rokuro: Be careful Nagi and Tagura don't attack you.<brk>Children lose control when they transform.
14:$5FD1	Priest: We don't follow the Reeva faith...<brk>but I'll still pray for Kron's wind to guide you.
14:$6016	Innkeeper: Don't go looking for Keyaki.<brk>I don't think she wants you to see her, <name>...
14:$604A	=<cEC:08>Search the offering box?<br><$81>Yes<br> No
14:$606A	<name> searched the offering box.
14:$607C	Koppa: ...Was the scroll there?<brk>What? It's gone?! No way!
14:$60A2	Innkeeper: <name>... It's about Keyaki...<brk>She hasn't come back since last night. I wonder where she went.

# ---- bank 14: Kinji at the shrine, and what Keyaki said ----
14:$68FE	<cF4>Kinji: No, listen, the thing is...
14:$698C	Keyaki: ......<brk>Hearing you say that... makes me so happy...
14:$69B7	Kinji: When you really love someone, you start picking up their habits.
14:$69E5	Kinji: ...So Keyaki really does have feelings for <name>...<brk>But still...
14:$6A14	Keyaki: ...<name> isn't from here.<brk>And he intends to leave Moonlight Village...
14:$6A4E	Kinji: R-right.<brk>Sure, right now he's stuck here because he can't get out...<brk>But he defeated Orochi.<brk>I'm sure he'll escape someday.<brk>And yet Keyaki always sees him off with a smile...<brk>Why? She may never see him again!
14:$6B01	Keyaki: ...I've thought about going with him so many times...<brk>But I'd probably only be a burden, and besides...<brk>I can only survive in this village...<brk>So I told myself to give up.<brk>To let him go and forget everything...
14:$6BB5	Kinji: Keyaki always sees him off with a smile, but...<brk>Deep down, she must...
14:$6BF4	Kinji: Oh, Keyaki!
14:$6C09	Kinji: Wow, that's amazing! I'm moved!<brk>Now I love her even more!
14:$6C3E	Kinji: Women are incredible!<brk>She carries all those feelings<brk>and can still smile so brightly!<brk>I never had a chance, of course...<brk>but I won't give up.<brk>One day I'll get her to look my way...<brk>Just kidding.<brk>And thus ends the rambling monologue of a foolish man<brk>who decided for himself what a woman was feeling. The end.
14:$6D22	Kinji: Ahh, shouting that out made me feel better!<brk>All right, time to go home.<brk>Home to... eat my feelings!!<cF3>
14:$6D6B	Kinji: Chomp chomp chomp chomp!<brk>Chomp chomp chomp chomp!!<brk>Chomp chomp chomp chomp chomp!!!
14:$6DB1	Kinji: ........
14:$6DC5	Koppa: Huh? Didn't you say items don't work here?
14:$6DED	Keyaki: Hm? No. I didn't come to bring you an item.
14:$6E12	Keyaki: <name>, um...<brk>If you ever come back to the village...<brk>will you pray with me?<brk>I'll be waiting at the shrine.
14:$6E69	Keyaki: I'll be waiting...<brk>At the shrine.
14:$6E80	Keyaki: You came...<brk>Come on, let's pray.<cF4>
14:$6E9F	Keyaki: All right.<brk>We're done.
14:$6EAC	Keyaki: Thank you for coming with me...<brk>Now I don't have any regrets...

# ---- bank 14: Chomomo, the shrine cat ----
14:$6EDB	Chomomo: Meow.
14:$6EE6	Koppa: Hey, a stray cat!<cE7>
14:$6EF6	Keyaki: This one is probably Tanmomo's sibling.<brk>So I named her Chomomo.<cE7>
14:$6F2B	Keyaki: I love stray cats, especially how free they are...<brk>...The truth is, there was a cat I loved very much,<brk>but he may never come back here again...<brk>Yet if he settled down and became a house cat,<brk>I think he'd lose the best part of himself...<brk>...So I decided to think of it this way.<brk>Come see me whenever you want.<cE7>
14:$7019	Keyaki: I'll always be here...<brk>That's what I mean.<cE7>
14:$7037	Keyaki: Oh! I almost forgot! I told the Innkeeper I'd be right back.<brk>...See you.<cF3><cE7>
14:$706E	Keyaki: I'm sure you'll find a way out someday, <name>.<brk>...Good luck!

# ---- bank 14: the companions ----
14:$70F3	Pochi: Woof! Woof woof! Woof!
14:$7105	Koppa: He says Fumi always petted him, so he owes her.<brk>He wants to help too, so let him join you.<brk>What do you say?
14:$7165	=<cEC:08>Let Pochi join you?<br><$81>Yes<br> No
14:$7182	<cE0:28>The dog Pochi joined you!<mode1><$78>
14:$7198	Pochi: Woof woof woof wooooof!
14:$71A7	Koppa: He says to call him anytime you need help.
14:$71D3	Pochi: Woof! Woof woof! Woof!<brk>(Let me come along too!)
14:$71F6	Koppa: He says Fumi always petted him, so he owes her.<brk>He wanted to help too and join you...<brk>but since you already have a companion, never mind.
14:$7270	Pochi: Woof! Woof woof! Woof!<brk>(I wanted to come along too...<brk>but since you already have someone, never mind.)
14:$7305	Rooster: Cock-a-doodle-doo!
14:$73B0	=<cEC:08>Let the Rooster join?<br><$81>Yes<br> No
14:$73CE	<cE0:28>The Rooster joined you!<mode1><$78>
14:$7311	Koppa: I am the strongest rooster in history!<brk>To put it plainly, I am strong!<brk>I've watched in silence until now,<brk>but these useless villagers are simply unbearable!<brk>If they won't go, then I shall be your companion!<brk>That's what he says. What do you want to do?
14:$73E2	Rooster: Cock-a-doodle-doo!<brk>(I am the mightiest rooster! Take me with you!)
14:$7410	Koppa: I am the strongest rooster in history!<brk>To put it plainly, I am strong!<brk>I've watched in silence until now,<brk>but these useless villagers are simply unbearable!<brk>If they won't go, then I shall be your companion!...<brk>is what he thought, but since you already have a companion,<brk>never mind.
14:$74C9	Rooster: Cock-a-doodle-doo!<brk>(I am the mightiest rooster! Take me with you!<brk>...or I would say that, but you already have someone. So be it!)
14:$75A1	Tanmomo: Mew, mew.<brk>(I'm a no-good kitty. Will you make me your companion?)
14:$75CE	=<cEC:08>Let Tanmomo join you?<br><$81>Yes<br> No
14:$7645	Tanmomo: Mew mew? Mewww!<brk>(Huh? Well, it's your fault for standing there!)
14:$7699	<cE0:28>The cat Tanmomo joined you!<mode1><$78>
14:$76B0	Tanmomo: Yeeeeowl!
14:$76C0	Tanmomo: Mew, mew.<brk>(I'm a no-good kitty. Will you make me your companion?<brk>...or I would ask, but you already have someone. Never mind.)
14:$770F	Tanmomo: Mew, mew.<brk>(I've been training and gotten a little stronger since then.<brk>Will you make me your companion?)
14:$774A	Tanmomo: Mew, mew.<brk>(I've gotten so strong that no one at Kuyo Pass can beat me.<brk>Will you make me your companion?)
14:$778D	Baby Mamel: Please take me with you too...
14:$77D3	Baby Mamel: Thank you for saving me.<brk>Here, take this as thanks!
14:$77FD	<name> received <cE3:FD>!
14:$780A	Baby Mamel: Bye! See you!
14:$781F	Baby Mamel: Thank you for saving me.<brk>I'll send this to your Warehouse as thanks.
14:$7850	Baby Mamel: Thank you for saving me.<brk>I'd like to give you something as thanks...<brk>but your pack and Warehouse are both full,<brk>so I can't give it to you. Bye! See you!
14:$78AE	<name> received the Mamel Sword!
14:$78BF	<name> received the Mamel Shield!
