id	loc	bytes	jp	en	edited_en
560	11:$6A97	108	ヨシゾウタ「おれのなは ヨシゾウタ。<br> クスリうりながら ぜんこくを<br> たびしている。<end><brk> このむらにも ときどき よるんだ。<br> なあ あんた。このあとは やっぱり<br> フミを たすけにいくんだろ？」	Yoshizota: Name's Yoshizota.<end><brk> I travel the country selling<br> medicine.<end><brk> I stop by this village now<br> and then.<end><brk> So, you're going to rescue<br> Fumi next, right?	
561	11:$6B04	54	ヨシゾウタ「オロチは てごわいって<br> きくけど あんたなら なんとか<br> しそうだ。がんばれよ！」	Yoshizota: I hear Orochi's a<br> tough one, but I bet you'll<br> find a way.<end><brk> Good luck!	
562	11:$6B3B	45	ヨシゾウタ「おれ あんたのこと<br> きにいっちまったよ。<br> こんど また のもうぜ！」	Yoshizota: I've really taken a<br> liking to you. Let's grab<br> another drink sometime!	
563	11:$6B69	13	フミのはは「ううう・・・」	Fumi's Mom: Ohhh...	
564	11:$6B77	58	ナギ「おばさん だいじょうぶだよ。<br> このにいちゃんが きっと たすけて<br> くれるって！<end> なっ！」<mode0>	Nagi: It will be all<br> right, missus.<end><brk> This fellow here will<br> save her, I know it!<br> Right!<end><mode0>	
565	11:$6BB2	44	むらおさ「ありがとうございます。<br> まさか ナギに いきて<br> あえるとは・・・」	Chief: Thank you so much. I<br> never thought I'd see Nagi<br> alive again...	
566	11:$6BDF	36	むらおさ「えっ ヨシゾウタ？<end><br> や、やつが むらに いるのか？！」	Chief: What? Yoshizota?<end><brk> H-he's here in the village?!	
567	11:$6C04	16	むらおさ「・・・・・・・・・・」	Chief: ..........	
568	11:$6C15	168	ぱしりのゴン「な、なんだ コッパって<br> イタチのことだったのかい？！<br> それなら みただよ。<end><brk> あんたがくる なんにちか まえだ。<br> いかにも くさそうなイタチが めの<br> まえを とおりすぎたんだ。<end><brk> あれっきりだが イタチがむかってた<br> ほうこう・・・ありゃ クヨウとうげ<br> のほうだな。うーーっ」	Gon: W-what? Koppa's a<br> weasel?! Then I did see him.<end><brk> A few days before you<br> arrived.<end><brk> A weasel that looked like he<br> stank walked right past me.<end><brk> That's the only time, but he<br> was heading...<end><brk> toward Kuyo Pass. Urgh...	
569	11:$6CBE	37	ロクロウ「ケッ！ ナギひとりたすけた<br> ぐらいで いいきになるなよ」	Rokuro: Tch! Don't get cocky<br> just because you saved<br> Nagi.	
570	11:$6CE4	32	タグラ「ねえ とうちゃん。<br> ナギって どこいってたの？」	Tagura: Papa, where did Nagi<br> go?	
571	11:$6D05	37	だいくのマサ「あんた・・・なかなか<br> やるな。ちょっと みなおしたぜ」	Masa: You... You're pretty<br> good. I have to admit, I'm<br> impressed.	
572	11:$6D2B	201	うらないオババ「ツキカゲむらから<br> 15ちけいぐらい はなれたばしょが<br> 『りゅうのあぎと』とよばれておる。<end><brk> オロチは、さらにさきの 6ちけい、<end><br> つまりツキカゲむらより 21ちけい<br> ぐらいさきに、いるといわれておる。<end><brk> ・・・なんで わしが こんなことを<br> おしえるのかと いうことじゃが、<end><brk> おぬしが なんとかしてくれそうな、<br> きがしてきてのう・・・」	Old Seer: About 15 floors from<br> Moonlight Village<end><brk> lies a place called Dragon's<br> Maw.<end><brk> Orochi is another 6 floors<br> beyond that.<end><brk> In other words, about 21<br> floors from the village.<end><brk> You're wondering why I'm<br> telling you this?<end><brk> I'm starting to think you<br> might actually do something<br> about it...	
573	11:$6DF5	10	ケヤキ「<name>さーん！」	Keyaki: <name>! Wait!	
574	11:$6E00	32	ケヤキ「こんどは いよいよ<br> フミちゃんね。<end> はい これ！」	Keyaki: Now it's finally time<br> to save Fumi.<end><brk> Here, take this!	
575	11:$6E21	12	<name>は<br><cE3:07>を もらった。	<name> received <cE3:07>.	
576	11:$6E2E	19	ケヤキ「がんばってね！・・・あっ」	Keyaki: Good luck! ...Oh.	
577	11:$6E42	21	だいくのキンジ「おい<end> これもってけ」	Kinji: Hey.<end><brk> Take this.	
578	11:$6E58	11	<name>は <cE3:04>を<br>もらった	<name> received <cE3:04>.	
579	11:$6E64	47	だいくのキンジ「オレのバンメシ<br> だかんな。あんちゃんたちには<br> ナイショだかんな」	Kinji: It's my dinner, okay?<br> Don't tell the others.	
580	11:$6E94	36	ケヤキ「キンジさんも・・おうえんして<br> くれるんだ・・・<end>うれしい」	Keyaki: Even Kinji's cheering<br> you on...<end><brk> That makes me happy.	
581	11:$6EB9	138	むらおさ「・・ナ、ナギは？<end><br> ・・・やはり ムリかのぉ。<end><brk> こどものあしだと、いまごろは<br> ここから 10ちけいぐらい さきに<br> いっているような きがするが・・・<end><brk> あそこらへんの かいぶつは<br> おそろしいから・・・<br> おお、しんぱいだわい・・・」	Chief: N-Nagi? ...No luck<br> after all?<end><brk> At a child's pace, he must be<br> about 10 floors in by now...<end><brk> The monsters around there<br> are fearsome...<end><brk> Oh, I'm so worried...	
582	11:$6F44	70	ぱしりのゴン「うーーっ<end><br> やっぱり みてねえだよ。<br> コッパなんてヤツ。<end><brk> べつのむらに いっちまったんじゃ<br> ねえか？」	Gon: Urgh... No, I haven't<br> seen him.<end><brk> This Koppa fellow.<end><brk> Maybe he went to another<br> village?	
583	11:$6F8B	58	ロクロウ「ケッ！ もどされたンか！<br> やっぱり ダメじゃねえか！<end><br> あんなとこ いくだけムダだぜ」	Rokuro: Tch! Got sent back,<br> huh? I knew you couldn't do<br> it!<end><brk> Going up there is a waste of<br> time.	
584	11:$6FC6	30	タグラ「ねえ フミちゃんって どこ<br> いっちゃったの？」	Tagura: Hey, where did Fumi<br> go?	
585	11:$6FE5	60	だいくのマサ「ナギをたすけることが<br> できなくても だれも あんたを<br> とがめやしねえ。よそもンだからな」	Masa: No one will blame you if<br> you can't save Nagi.<end><brk> You're an outsider, after<br> all.	
586	11:$7022	26	だいくのキンジ「ばあちゃん<br> ハラへったよォ」	Kinji: Graaan, I'm hungry!	
587	11:$703D	52	うらないオババ「あんた さっきたべた<br> ばかりじゃないか！ バンメシまで<br> がまんしな」	Old Seer: You just ate! Wait<br> until dinner.	
588	11:$7072	41	うらないオババ「このむらは<br> のろわれた うんめいを<br> せおっているんじゃ」	Old Seer: This village is<br> burdened with a cursed fate.	
589	11:$709C	180	ロクロウ「あんた・・・なんだって<br> こんなこと くりかえしてンだ？<br> じぶんの トクになるワケじゃなし。<end><brk> ・・・まあ、どうしても いくって<br> いうのなら とめねえけど、<br> ひとつだけ おしえといて やらあ。<end><brk> クヨウとうげは みちが<br> 3つに わかれているんだ。<end><brk> そこのカンバンのちずを みれば<br> みちを えらべるぜ」	Rokuro: You... Why do you<br> keep doing this?<end><brk> There's nothing in it for<br> you.<end><brk> ...Well, if you're determined<br> to go, I won't stop you.<end><brk> But I'll tell you one thing.<end><brk> Kuyo Pass splits into three<br> roads.<end><brk> Check the map on that sign<br> to choose one.	
590	11:$7151	44	だいくのキンジ「ケヤキちゃんって<br> かわいいよな・・・<br> おれは・・・おれは・・・」	Kinji: Keyaki's so cute...<br> I... I...	
591	11:$717E	53	だいくのマサ「おまえ ケヤキちゃんが<br> しんせつにしてくれるからって<br> いいきになるんじゃないぜ」	Masa: Just because Keyaki's<br> nice to you,<end><brk> don't get the wrong idea.	
592	11:$71B4	41	うらないオババ「どだい オロチに<br> さからうなど ムリな はなしじゃ」	Old Seer: Defying Orochi was<br> impossible from the start.	
593	11:$71DE	55	だいくのキンジ「あんちゃん<br> ほっさ だいじょうぶかい？・・・<br> まだ くるしそうにみえるけど」	Kinji: Are you okay after that<br> fit?...<end><brk> You still look like you're in<br> pain.	
594	11:$7216	47	だいくのマサ「・・・・・・<end><br> だ、だいじょうぶだ。ようやく<br> おさまってきたよ」	Masa: ......<end><brk> I-I'm fine. It's finally<br> passing.	
595	11:$7246	16	フミのはは「あの・・これを」<end><mode0>	Fumi's Mom: Um... take<br> this.<end><mode0>	
596	11:$7257	12	<name>は <cE3:09>をもらった<end><mode0>	<name> received<br> <cE3:09>.<end><mode0>	
597	11:$7264	27	フミのはは「フミを・・・<br> フミを おねがいします」	Fumi's Mom: Please... Please<br> save Fumi.	
598	11:$7280	77	むらおさ「あなたのいう イタチなら<br> わしも みたことがありますぞ。<end><brk> じんじゃのかいだんを かけぬけて<br> そのまま クヨウとうげへ・・・」	Chief: I have seen the weasel<br> you describe.<end><brk> He ran up the shrine steps<br> and continued toward Kuyo<br> Pass...	
599	11:$72CE	62	ぱしりのゴン「うーーっ このあいだの<br> くさそうなイタチ<end> あれは あんたの<br> ともだち だったのか。<end>うーーっ」	Gon: Urgh... That smelly<br> weasel from the other day...<end><brk> So he's a friend of yours.<br> Urgh...	
600	11:$730D	30	ロクロウ「フン！ おれは・・・<br> おれは みとめねえからな」	Rokuro: Hmph! I... I still<br> don't accept you.	
601	11:$732C	51	だいくのマサ「おお あんたかい！<end><br> ・・・ゴメンよ。いま だいじな<br> はなしを してんだ」	Masa: Oh, it's you!<end><brk> ...Sorry. We're discussing<br> something important.	
602	11:$7360	30	だいくのキンジ「じつはよ<br> あんたを おどろ・・・」	Kinji: Actually, we're going<br> to surpri...	
603	11:$737F	14	だいくのマサ「コラッ！！」	Masa: Hey!!	
604	11:$738E	33	だいくのキンジ「やべえ。<br> ナイショだった。へへへ・・・」	Kinji: Whoops. It was supposed<br> to be a secret. Heh heh<br> heh...	
605	11:$73B0	16	だいくのマサ「へへへへ・・・」	Masa: Heh heh heh heh...	
606	11:$73C1	35	だいくのマサ「ほら！ キンジ！<br> チンタラしてんじゃねえぞ！」	Masa: Come on, Kinji! Quit<br> slacking!	
607	11:$73E5	55	だいくのキンジ「いそいで<br> つくらなきゃ！<end> けど、ハラへって<br> ちからが でねえよ。あんちゃん」	Kinji: We have to hurry and<br> finish it!<end><brk> But I'm starving! I don't<br> have any strength left, bro.	
608	11:$741D	117	うらないオババ「うんめい<end>、サダメ、<end><br> シキタリ・・・<end>それらが いま<br> くつがえされようとしておる。<end><brk> たしかにオロチは てごわい・・<end>が、<br> おぬしの かがやきは それいじょう<br> に かんじられるんじゃ」	Old Seer: Destiny, fate,<br> tradition...<end><brk> All of it is about to be<br> overturned.<end><brk> Orochi is formidable, yes...<end><brk> but the light I sense in you<br> shines brighter still.	
609	11:$7493	161	ナギ「にいちゃん！ やっぱり おれも<br> いきたいんだ！ ついていくよ！<br> やだっていっても ダメだぜ！<end><brk> ・・・と おもったけど きゅうに<br> モレそうに なっちゃったから<br> さきに いっててーーっ！<end><brk> ・・・と おもったけど これが<br> でそうで でなくなっちゃった。<br> うーん どうしよ？」	Nagi: Big bro! I still want to<br> come with you!<end><brk> I'm going! You can't say no!<end><brk> ...Or so I thought, but<br> suddenly I have to pee really<br> bad!<end><brk> Go on ahead!<end><brk> ...Or so I thought, but now I<br> feel like I have to go, but I<br> can't.<end><brk> Hmm... What do I do?	
610	11:$7535	41	おかみ「ケヤキちゃん まだ もどって<br> こないのよ。どうしちゃったんだろ」	Innkeeper: Keyaki still hasn't<br> come back.<end><brk> I wonder what happened.	
611	11:$755F	21	フミのはは「<name>さん・・・<br> あの これを」	Fumi's Mom: <name>... Um,<br> take this.	
612	11:$7575	11	<name>は <cE3:03>をもらった。	<name> received <cE3:03>.	
613	11:$7581	49	フミのはは「このぐらいのことしか<br> できなくて すみません。けど<br> どうか フミを・・・」	Fumi's Mom: I'm sorry this is<br> all I can do. But please...<br> save Fumi.	
614	11:$75B3	45	キンジ「ケヤキちゃんが いなく<br> なっちゃったんだって？<end><br> うおおおおーーーっ！」	Kinji: Keyaki's gone missing?<end><brk> Nooooooo!!	
615	11:$75E1	58	ぱしりのゴン「ケヤキちゃん どこ<br> いっちゃったんだろー？<end> うーーっ<br> おれも ひそかにねらっていたのに」	Gon: Where could Keyaki have<br> gone?<end><brk> Urgh... And I secretly had my<br> eye on her, too.	
616	11:$761C	28	ロクロウ「なあ <name>さん<br> これ やくにたつかなあ？」<end><mode0>	Rokuro: Say <name>,<br> would this be of use?<end><mode0>	
617	11:$7639	14	<name>は <cE3:01>を<br>もらった。<end><mode0>	<name> received<br> <cE3:01>.<end><mode0>	
618	11:$7648	57	ロクロウ「うらやまに おちてたんで<br> ひろったんだ。おれがもってても<br> つかいみちないんで やるわ それ」	Rokuro: I found it lying in<br> the hills out back.<end><brk> It's no use to me, so you can<br> have it.	
619	11:$7682	33	タグラ「がんばってね！<br> きっと フミちゃんをたすけてね！」	Tagura: Good luck! You have<br> to save Fumi!	
620	11:$76A4	257	むらおさ「なんと！ まきものが<br> ないとな！<end> きのうまでは<br> たしかに あったんじゃが・・・<end><brk> そういえば ゆうべ だれかから<br> 『りゅうの あぎと』へ むかう<br> ひとかげを みたときいたぞ。<end><brk> なんでも 『やさしい』みちは<br> とおらず『ふつう』か『むずかしい』<br> のほうへ はいっていったそうな。<end><brk> 『ふつう』か『むずかしい』を<br> とおって あんたらも いってみては<br> どうじゃ？ なんとかなるような・・<end><brk> すまん・・・すごくムセキニンな<br> いいかたじゃった・・・」	Chief: What! The scroll is<br> gone?<end><brk> It was definitely there<br> yesterday...<end><brk> Come to think of it, I heard<br> someone saw a figure last<br> night,<end><brk> heading toward Dragon's<br> Maw.<end><brk> Apparently they avoided the<br> Easy road and took Normal<br> or Hard.<end><brk> Why don't you try taking<br> Normal or Hard too?<end><brk> Maybe you'll find<br> something...<end><brk> Forgive me... That was<br> terribly irresponsible of me<br> to suggest...	
621	11:$77A6	92	ナギ「このあいだ かわべで へんな<br> たてが おちてたんだけどさ、<end><brk> おれ もれそうだったんで とらずに<br> かえってきちゃったんだ。<br> こんど とってくるよ」	Nagi: I saw a weird shield by<br> the river the other day,<end><brk> but I had to pee so bad that<br> I went home without it.<end><brk> I'll grab it next time.	
622	11:$7803	91	うらないオババ「むらびとたちのなかに<br> はじめて キボウというものが<br> うまれてきておる。<end><brk> おぬしのおかげで このむらにも<br> ヒカリが あたりつつあるのじゃ」	Old Seer: For the first time,<br> hope is growing<end><brk> among the villagers.<end><brk> Thanks to you, light is<br> finally beginning to reach<br> this village.	
623	11:$785F	150	だいくのマサ「そうこに アイテムを<br> おいとけば ぼうけんの とちゅうで<br> ちからつきても なくならないぜ。<end><brk> ただし ツボのなかみは すべて<br> きえるから きをつけな。<end><brk> あと ぼうけんには アイテムを<br> 5こしかもっていけないぜ。ツボは<br> なかみが きえちゃうからな」	Masa: Leave items in the<br> Warehouse and you won't<br> lose them if you collapse.<end><brk> But everything inside a Pot<br> disappears, so be careful.<end><brk> You can only bring 5 items<br> on an adventure.<end><brk> Remember, Pots lose their<br> contents.	
624	11:$78F6	109	ぱしりのゴン「もしかしたら<br> ケヤキちゃんって・・・<end><brk> <name>さんに かいぶつになった<br> じぶんのスガタを みられたく<br> なかっただかなあ・・・<end><brk> うーーっ それで かくれちゃった<br> んだなあ・・・」	Gon: Maybe Keyaki...<end><brk> didn't want <name> to see<br> her looking like a monster...<end><brk> Urgh... So that's why she's<br> hiding...	
625	11:$7964	51	だいくのキンジ「ケヤキちゃんは<br> たぶん <name>さんのことが・・・<end><br> くっ うらやましい・・・」	Kinji: I think Keyaki might<br> have feelings for <name>...<end><brk> Ugh, I'm so jealous...	
626	11:$7998	51	おかみ「ケヤキちゃん きっともどって<br> くるわよ。なにごともなかったように<br> カラリとわらってさ」	Innkeeper: I'm sure Keyaki<br> will come back.<end><brk> She'll smile like nothing<br> ever happened.	
627	11:$79CC	29	フミのはは「おねがいします。<br> どうか フミを・・・」	Fumi's Mom: Please... Please<br> save Fumi.	
628	11:$79EA	20	ロクロウ「オロチなんかに<br> まけるなよ」	Rokuro: Don't you lose to<br> Orochi.	
629	11:$79FF	36	ナギ「あっ きのういってた たてを<br> ひろってきたんだ。これだよ」	Nagi: Hey, I picked up that<br> shield I told you about<br> yesterday. Here.	
630	11:$7A24	12	<name>は <cE3:00>を<br>もらった。	<name> received <cE3:00>.	
631	11:$7A31	32	ナギ「やくにたつか わからないけど<br> とにかく あげるよ」	Nagi: I'm not sure it'll help,<br> but you can have it.	
632	11:$7A52	143	だいくのマサ「あっ <name>さん。<br> きのう キンジとふたりで<br> そうこを ぞうちくしたんだ。<end><brk> これで アイテムが もっと<br> おけるように なったぜ。<end><brk> あと ぼうけんには アイテムを5こ<br> しかもっていけないし ツボはなかみ<br> がきえちゃうから、ちゅういしてな」	Masa: Hey, <name>.<end><brk> Kinji and I expanded the<br> Warehouse yesterday.<end><brk> Now you can store a lot more<br> items.<end><brk> Remember, you can only<br> bring 5 items on an<br> adventure,<end><brk> and Pots lose their contents,<br> so be careful.	
633	11:$7AE2	51	おかみ「ケヤキちゃん きっともどって<br> くるわよ。なにごともなかったように<br> カラリとわらってさ」	Innkeeper: I'm sure Keyaki<br> will come back.<end><brk> She'll smile like nothing<br> ever happened.	
634	11:$7B16	37	ぱしりのゴン「ケヤキちゃん・・・<br> かわいいコだったなあ うーーっ」	Gon: Keyaki... What a sweet<br> girl. Urgh...	
635	11:$7B3C	27	ナギ「ああ おれが もっと<br> つよければ・・・」	Nagi: If only I were<br> stronger...	
636	11:$7B58	38	だいくのキンジ「ばあちゃん おれ<br> シツレンしちまった。<end>メシ・・・」	Kinji: Gran, I got my heart<br> broken.<end><brk> Food...	
637	11:$7B7F	53	うらないオババ「こーゆーとき ふつう<br> なにも のどに とおらないもンなん<br> じゃ ないのかねえ」	Old Seer: At a time like this,<end><brk> aren't you normally too<br> upset to eat?	
638	11:$7BB5	43	だいくのキンジ「・・・ケヤキちゃぁん<br> うえーんっ<end> がつがつがつがつ！」	Kinji: ...Keyakiii! Waaaaah!<end><brk> Chomp chomp chomp chomp!	
639	11:$7BE1	84	だいくのマサ「おい キンジ！<br> いつまでも ヤケぐいしてねえで<br> しごとを てつだえよ！<end><brk> おれたちには まだ やることが<br> のこってんだから！」	Masa: Hey, Kinji! Stop<br> stress-eating<end><brk> and help me work!<end><brk> We still have things to do!	
640	11:$7C36	211	だいくのマサ「よう <name>さん！<br> これが おれにできる さいごの<br> しごとだ。<end><brk> そうこを ひろげられるだけ<br> ひろげたからよ。<br> まっ これがげんかいだな。<end><brk> ぼうけんに もっていける<br> アイテムすうは あいかわらず<br> 5こまでだし、<end><brk> ツボも もっていこうとすると<br> なかみが きえちゃうけど・・・<end><brk> あとは <name>さん！<br> あんたの うでしだいだ。<br> たのんだぜ！」	Masa: Hey, <name>! This is<br> the last thing I can do for<br> you.<end><brk> I expanded the Warehouse as<br> far as it'll go.<end><brk> That's the limit.<end><brk> You can still only bring 5<br> items on an adventure,<end><brk> and Pots lose their contents<br> if you try to take them...<end><brk> The rest is up to you,<br> <name>!<end><brk> It all comes down to your<br> skill. We're counting on you!	
641	11:$7D0A	69	だいくのキンジ「がつがつがつがつ！<end><br> がつがつがつががつ！！<end><br> がつがつがつががつがつがつ！！！」	Kinji: Chomp chomp chomp<br> chomp!<end><brk> Chomp chomp chomp chomp!!<end><brk> Chomp chomp chomp chomp<br> chomp!!!	
642	11:$7D50	40	うらないオババ「けっきょく あんたは<br> たべてばかりナンだねえ・・・」	Old Seer: In the end, all you<br> do is eat...	
643	11:$7D79	82	ロクロウ「じつは <name>さんに<br> わたしたいものがあるんだけど・・・<end><brk> <name>さん もちものを 5コ<br> いじょうもっていて わたせないから<br> よしとくわ・・・」	Rokuro: Truth is, I have<br> something for you,<br> <name>...<end><brk> But <name>, you're<br> carrying 5 items or more,<end><brk> so I can't give it to you.<br> Forget it...	
644	11:$7DCC	89	ナギ「あっ きのういってた たてを<br> ひろってきたんだ。これだよ。<end><brk> ・・・と、おもったけど にいちゃん<br> 5コいじょう もちものをもっている<br> から わたせないや」	Nagi: Hey, I picked up that<br> shield I told you about<br> yesterday.<end><brk> Here it is.<end><brk> ...Or it would be, but you're<br> carrying 5 items or more.<end><brk> So I can't give it to you.	
645	13:$4571	13	<cE0:2B>とっぷうだ！！<cE7:A0>	<cE0:2B>A sudden gale!!<cE7:A0>	
646	13:$457F	11	……かぜはおさまった	...the wind has died down	
647	13:$458B	14	……さっきよりつよいぞ<cE7:3C>	...stronger than before!<cE7:3C>	
648	13:$459A	19	<cE0:20><cEC:6E>からだをささえきれない！<cE7:B4>	<cE0:20><cEC:6E>Can't stand!<cE7:B4>	
649	13:$45AE	13	<cE0:2C>とっぷうだ！！<cE7:3C>	<cE0:2C>A sudden gale!!<cE7:3C>	
650	13:$45BC	14	<cE0:88>おなかが へってきた…	<cE0:88>Getting hungry	
651	13:$45CB	19	<cE0:88>ハラペコで めがまわってきた	<cE0:88>Dizzy with hunger	
652	13:$45DF	19	<cE0:88>だめだ もう たおれそうだ！	<cE0:88>Ready to collapse	
653	13:$45F3	16	<cE0:88>はやく…なにかたべないと…	<cE0:88>Need food fast	
654	13:$4604	15	<cE0:88>うえじに してしまう！！	<cE0:88>Starving now!	
655	13:$4614	5	<cE3>をおいて	Put down <cE3>	
656	13:$461A	9	<cE1><cE0:4C><cE3>をひろった	<cE1><cE0:4C>Got <cE3>	
657	13:$4624	8	<cE0:4C><cE3>をひろった	<cE0:4C>Got <cE3>	
658	13:$462D	7	<cE1><cE3>をひろった	<cE1>Got <cE3>	
659	13:$4635	9	ここには おけない	You can't put it here.	
660	13:$463F	10	なにも おちていない	There's nothing here.	
661	13:$464A	19	もちものが いっぱいで もてない	Your pack is full.	
662	13:$465E	7	<cE0:46><cE3>をもった	<cE0:46>Equipped <cE3>	
663	13:$4666	7	<cE0:48><cE3>をつけた	<cE0:48>Equipped <cE3>	
664	13:$466E	9	<cE0:47><cE3>をはずした	<cE0:47>Removed <cE3>	
665	13:$4678	9	<cE0:49><cE3>をはずした	<cE0:49>Removed <cE3>	
666	13:$4682	10	<cE0:4E>のろわれていた！	<cE0:4E>It was cursed!	
667	13:$468D	18	<cE0:4E>のろわれていて はずれなかった	<cE0:4E>Cursed! It won't come off.	
668	13:$46A0	5	<cE3>にのった	Stepped on <cE3>	
669	13:$46A6	5	<cE3>をおいた	Put down <cE3>	
670	13:$46AC	2	<cE3>を	Consumed the <cE3>	
671	13:$46AF	10	くすりにしてのんだ	as medicine.	
672	13:$46BA	6	<cE3>をたべた	Ate <cE3>	
673	13:$46C1	6	<cE3>をよんだ	Read <cE3>	
674	13:$46C8	16	みせの アイテムは いれられない	You can't put shop goods in.	
675	13:$46D9	5	<cE3>をふった	Waved <cE3>	
676	13:$46DF	5	<cE3>をおした	Pushed <cE3>	
677	13:$46E5	5	<cE3>のなかに	Into the <cE3> went	
678	13:$46EB	5	<cE3>をいれた	the <cE3>.	
679	13:$46F1	4	はいった	you.	
680	13:$46F6	6	<cE3>のなかから	Out of the <cE3>	
681	13:$46FD	8	<cE3>をだした<cE7:05>	came the <cE3>.<cE7:05>	
682	13:$4706	18	ツボのなかに ツボはいれられない	A Pot can't go in a Pot.	
683	13:$4719	16	ツボのなかには もうはいらない	The Pot is full.	
684	13:$472A	6	<cE3>がわれた	<cE3> shattered!	
685	13:$4731	2	<cE3>は	The <cE3>	
686	13:$4734	6	<var>にあたった	hit <var>.	
687	13:$473B	8	じめんにおちた	fell to the ground.	
688	13:$4744	17	おちて つかいものにならなくなった	fell and is now useless.	
689	13:$4756	8	ここは ほれない	You can't dig here.	
690	13:$475F	7	<cE3>は こわれた	<cE3> broke.	
691	13:$4767	15	しかし うでわのまりょくで	But the Bracer's magic	
692	13:$4777	7	サビなかった	kept it from rusting.	
693	13:$477F	8	のろわれなかった	warded off the curse.	
694	13:$4788	9	こんらんしなかった	kept you from confusion.	
695	13:$4792	14	おなかがいっぱいになった	Your belly is full!	
696	13:$47A1	14	すこし おなかが ふくれた	You feel a little fuller.	
697	13:$47B0	10	おなかはふくれたが	You feel fuller, but	
698	13:$47BB	17	<cE0:85>HPが<cE4>ポイントさがった	<cE0:85>HP fell by <cE4>.	
699	13:$47CD	13	うごきが おそくなった	Slowed down.	
700	13:$47DB	6	<cE3>をおとした	Dropped <cE3>	
701	13:$47E2	12	つえ のこうかで <var>に	Magic hit <var>	
702	13:$47EF	16	<cE0:86>まっすぐあるけなくなった！	<cE0:86>You can't walk straight!	
703	13:$4800	19	<cE0:87>もうれつに ねむくなってきた・・・	<cE0:87>You're terribly sleepy...	
704	13:$4814	16	ちからが<cE4>ポイントさがった	Strength fell by <cE4>.	
705	13:$4825	21	ひろうだけで しきべつかのうになった	Items are identified on pickup	
706	13:$483B	16	ちからを さげられなくなった！	Strength can't be lowered!	
707	13:$484C	21	たまごのこうかで ちからはさがらない	The egg guards Strength.	
708	13:$4862	14	ふみんじょうたいになった！	You can no longer sleep!	
709	13:$4871	20	しかしたまごのこうかでねむらなかった	But the egg kept you awake.	
710	13:$4886	12	はらがへらなくなった！	You won't get hungry!	
711	13:$4893	15	モンスターをおこさなくなった！	You no longer wake monsters!	
712	13:$48A3	17	<cE0:6A>HPが<cE4>ポイントあがった	<cE0:6A>HP rose by <cE4> points.	
713	13:$48B5	21	<cE0:6B>みえないものが みえるようになった！	<cE0:6B>You can see the unseen!	
714	13:$48CB	15	<cE0:6D>むてきじょうたいになった	<cE0:6D>You are invincible!	
715	13:$48DB	11	むてきではなくなった	Invincibility wore off.	
716	13:$48E7	15	<cE0:6E>しかし アイテムをつかって	<cE0:6E>But an item activated	
717	13:$48F7	7	ふっかつした！	and revived you!	
718	13:$48FF	22	<cE0:6F>さいだいHPが<cE4>ポイントあがった	<cE0:6F>Max HP rose by <cE4>.	
719	13:$4916	19	しきべつしたものをわすれてしまった！	You forgot all item IDs!	
720	13:$492A	16	まんぷくどのさいだいちが	Max fullness	
721	13:$493B	8	<cE0:70><cE6>％になった	<cE0:70>is now <cE6>.	
722	13:$4944	8	<cE0:71><cE6>％になった	<cE0:71>is now <cE6>.	
723	13:$494D	18	<cE0:73>ちからが<cE4>ポイントあがった	<cE0:73>Strength rose by <cE4>.	
724	13:$4960	14	<cE0:73>ちからのさいだいちが	<cE0:73>Max Strength rose	
725	13:$496F	11	<cE4>ポイントあがった	by <cE4> points.	
726	13:$497B	13	<cE0:72>ちからがかいふくした	<cE0:72>Strength recovered.	
727	13:$4989	10	<cE0:86><var>はこんらんした	<cE0:86><var> is confused!	
728	13:$4994	13	しかし なにもおきなかった	But nothing happened.	
729	13:$49A2	2	<cE3>の	The <cE3>'s	
730	13:$49A5	9	のろいがとけた！	curse was lifted!	
731	13:$49AF	6	なんと！<cE3>は	What! The <cE3>	
732	13:$49B6	5	<cE3>だった	was a <cE3>!	
733	13:$49BC	7	これは<cE3>だ！	This is a <cE3>!	
734	13:$49C4	5	ラッキー！	Lucky!	
735	13:$49CA	20	すべてのアイテムがしきべつされた！	All items were identified!	
736	13:$49DF	20	ダンジョンがみわたせるようになった	The floor map was revealed.	
737	13:$49F4	12	<cE0:56>おおきさが<cE4>ふえた	<cE0:56>Size increased by <cE4>.	
738	13:$4A01	15	<cE0:58>くちがつかえなくなった！	<cE0:58>Your mouth is sealed!	
739	13:$4A11	12	くちがつかえない！<cE7:0A>	Your mouth is sealed!<cE7:0A>	
740	13:$4A1E	22	<cE0:68>まわりのモンスターのうごきがとまった	<cE0:68>Nearby foes froze!	
741	13:$4A35	16	アイテムをひろえるようになった！	You can pick up items!	
742	13:$4A46	17	HPがかいふくするようになった！	Your HP now recovers!	
743	13:$4A58	17	まっすぐ あるけるようになった！	You can walk straight!	
744	13:$4A6A	21	<cE0:5A>モンスターのはやさが2ばいになった	<cE0:5A>Monster speed doubled!	
745	13:$4A80	15	かべがくずれてしまった！	The wall broke!	
746	13:$4A90	11	<var>はでてこなくなった	<var> won't appear.	
747	13:$4A9C	18	このまきものはよまずになげること	Throw this scroll unread	
748	13:$4AAF	17	するとそのてきがでてこなくなる	to banish that species.	
749	13:$4AC1	16	<cE0:60>マップをわすれてしまった！	<cE0:60>You forgot the map!	
750	13:$4AD2	3	<cE3>が	The <cE3>	
751	13:$4AD6	5	<cE3>になった	became a <cE3>!	
